COUNTRY,VARIABLE,UNIT,MEASURE,TIME_FORMAT,obsTime,obsValue,OBS_STATUS
AUS,19_T175,PERCENTAGE,SE,P1Y,2013,1.5482676,NA
AUS,19_T175,PERCENTAGE,SE,P1Y,2018,0.97512007,NA
AUS,19_T177,PERCENTAGE,SE,P1Y,2018,0.96336448,NA
AUS,19_T179,PERCENTAGE,SE,P1Y,2013,1.8687315,NA
AUS,19_T179,PERCENTAGE,SE,P1Y,2018,0.87093252,NA
AUS,19_T188,PERCENTAGE,SE,P1Y,2013,2.6549518,NA
AUS,19_T188,PERCENTAGE,SE,P1Y,2018,0.89705628,NA
AUS,20_T016,PERCENTAGE,SE,P1Y,2018,0.95932138,NA
AUS,20_T176,PERCENTAGE,SE,P1Y,2018,1.1115683,NA
AUS,20_T189,PERCENTAGE,SE,P1Y,2018,0.41839108,NA
AUS,1_T001,YEARS,SE,P1Y,2018,0.24520247,NA
AUS,1_T002,YEARS,SE,P1Y,2018,0.23066175,NA
AUT,1_T000,PERCENTAGE,VAL,P1Y,2013,NA,a
AUT,1_T000,PERCENTAGE,VAL,P1Y,2018,70.5,NA
AUT,1_T029,PERCENTAGE,VAL,P1Y,2013,NA,a
AUT,1_T029,PERCENTAGE,VAL,P1Y,2018,43.799999,NA
AUT,2_T004,PERCENTAGE,VAL,P1Y,2013,NA,a
AUT,2_T004,PERCENTAGE,VAL,P1Y,2018,49.900002,NA
AUT,2_T030,PERCENTAGE,VAL,P1Y,2013,NA,a
AUT,2_T030,PERCENTAGE,VAL,P1Y,2018,30.5,NA
AUT,3_T022,PERCENTAGE,VAL,P1Y,2018,9.1000004,NA
AUT,3_T023,PERCENTAGE,VAL,P1Y,2018,13.9,NA
AUT,3_T024,PERCENTAGE,VAL,P1Y,2013,NA,a
AUT,3_T024,PERCENTAGE,VAL,P1Y,2018,76.599998,NA
AUT,3_T078,PERCENTAGE,VAL,P1Y,2018,12.4,NA
AUT,3_T079,PERCENTAGE,VAL,P1Y,2018,47.200001,NA
AUT,4_T072,PERCENTAGE,VAL,P1Y,2018,34.599998,NA
